file_path,file_size,file_md5,is_symlink
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150118_181754072.mp4,61993965,7ecabb0d8c948481d0f0e002d5d710c0,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/PS LAB/pslab.pdf,61853412,81497b0d7e19babfd4890226b0ebf01b,False
"/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Routh-Hurwitz Criterion, Special Cases.mp4",61580842,4eaac18e9977838b13c8ca71382db426,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 8/08-Realt Time Signal Processing/benchmark/train_32x32.t7,61500210,5bd7e01ffd7682081ff6d52c75655cc7,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180303_142609363.mp4,61084136,e0d4443affd0992a724cc3a169ea4072,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150120_050028032.mp4,59567539,c3be73b77be6332ead2fa3a630c6b374,False
/Users/arunpatro/My Drive/Books/EE/Power EC/Erickson and Maksimovic.pdf,59182824,8e533245705cf29c4d3b781a5c8e43ba,False
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141231_123019274.mp4,58796381,a46b2140e834039fb8aa19036654ff51,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150524_123317.mp4,58669044,7bd3f33997273636082a9b30bdcb81e0,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150315_172906154.mp4,58432343,73f380cb949282f65b61a575413af361,False
/Users/arunpatro/My Drive/Google Photos/2017/VID_20170927_190705572.mp4,58399907,92d0c654b5fedec4ff4292e60565208a,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150526_120000.mp4,58044329,beac03d153d49ac8e8b0cab1719c9648,False
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141214_183225203.mp4,57985907,b33d76070581d729786dd74b7618f6e2,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_125609565.mp4,57527497,031472485169eef1a5d7d7afdec46eec,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150526_120200.mp4,56807238,3c4d46de60ed97dc21b47a4eedc2446d,False
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141231_123135690.mp4,56745971,97e97c84cd855f4c6eefa3f40070feef,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150618_214722296.mp4,55838971,7203fc30e34587dcb6590d479b5420a1,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_100914037.mp4,55462849,6de316178ff56989f3eebf25c6159a02,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20181202_201832802.mp4,55079644,1eba139d70e1d92e77e69ca110173ba3,False
"/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Routh-Hurwitz Criterion, An Introduction.mp4",54942617,ba1d8c09c8b1871ad8f631c67f4e4437,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Erickson-Power Electronics.pdf,54393090,864ff1ec660402fe5c3df38b8451e582,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180303_132333153.mp4,52768503,05038e5da25e196d3d6b5c4ef35c66aa,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180302_120236541.mp4,52574980,fb5a9041e8e219172f1849be286cbf0f,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_151354459.mp4,52238198,e956e43291552f06d038384d52dc0096,False
/Users/arunpatro/My Drive/Google Photos/2019/004-pgan-myntra_dresses-preset-v2-1gpu-fp16-network-snapshot-007800-lerp.mp4,52191937,7c99225f6c629352b0ba4b448210344d,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Data Communication/modern-digital-and-analog-communication-systems-by-b-p-lathi.pdf,52000067,551da42849c5ee4ae1e9f30039dd8785,False
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141231_211114689.mp4,51678734,c8e383626669cf290b3d353ebb80ea5b,False
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141231_210707518.mp4,51285085,afd284d169f2781f24758a37e53c49a7,False
/Users/arunpatro/My Drive/Google Photos/2016/VID_20161213_112600.mp4,51225373,f40dfdf2370da698a51a956e8be0ae09,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/broken-dell-laptop.mp4,50374526,33cd803ea3bd4edb0022893d9236f959,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls Lab/btech2015.rar,50224791,0d06a642df5e40c52f0fc3f1b0339432,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180228_160559501.mp4,50151689,dcd38a4c4d151a756d9791a2ce339612,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150314_153117916.mp4,49967599,e4c857fda9d67649ac440e60d8b117d3,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150202_103859752.mp4,48974618,706cf7fc42ca59faa815c4215bcd330b,False
"/Users/arunpatro/My Drive/Books/Chess/Aron Nimzowitsch, Lou Hays - My System. 21 century edition-Hays Publishing (1991).pdf",48748777,00be4de708a623de6e1389cf70aaf3b2,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180302_102836342.mp4,48125857,a9d46bcdad39089c405d7f383cbf7a74,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180228_160730219.mp4,48085413,acad46deab4f4292d76d937abacf96bb,False
/Users/arunpatro/My Drive/Google Photos/2017/VID_20170618_222115727.mp4,47831414,b6d1edcedca4c6cf0911c7ed37f6af5a,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_105703981.mp4,47793740,12daee44b9f593afb94fb29dafc059db,False
/Users/arunpatro/My Drive/Google Photos/2017/VID-20171020-WA0008.mp4,47754180,574652705daa24a39b1a6a62e2800d2f,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150107_010752577.mp4,47687545,df2631b73a9e5d300a88c1979fe90460,False
/Users/arunpatro/My Drive/Books/Fiction/calvin&hobbes/CalvinHobbesCollection_Book1_of_3.pdf,47684975,d0c6bb516ae23df16886a1319be232f3,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150102_191035308.mp4,46878832,1a72c4ca677c02eae40f6c93f54a6b68,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180302_083644467.mp4,46802522,504ff60421fae208e9f6bea4565ca80c,False
/Users/arunpatro/My Drive/Google Photos/2016/VID_20161216_155927.mp4,46708193,8cc4282dfe034269e89281ad1d04f07b,False
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141231_211212570.mp4,46311635,43e4836c5f97f863a3bd68836dc89d8c,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_150215664.mp4,45957343,885a4db0eb384cf0ee3d91b30b8c8115,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180302_120146336.mp4,45872390,f2b912621aca1645f6ab5d0111174e72,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_102606063.mp4,45532650,882de8ceccc753a3deea20681c64895b,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180228_171559099.mp4,45070008,202aa14fe4738393883e5bfe5238736f,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Embedded Systems/books/Mazidi.pdf,44838733,2e7ac37e8bd54470e567756d565b640c,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150526_115731472.mp4,44825285,39b37b2cd55a139f4b06ba718491d66e,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_122346066.mp4,44810536,6bdd148e3f831d8a128ddd7b9cc0b421,False
/Users/arunpatro/My Drive/Myntra/pdfs/papers/StackGAN++- Realistic Image Synthesis with Stacked Generative Adversarial Networks.pdf,44316605,743943f330a37430f1359a7737746868,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_153457976.mp4,44204940,efc621f07739a68f81dd481941d49090,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/What are Lead Lag Compensators An Introduction.mp4,43733422,7cbefc19f5011b9279c4af151b3378ad,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_112454895.mp4,43574983,196a801333b12df6ae4c3c0c6cd58bef,False
/Users/arunpatro/My Drive/YC-S24-App.mp4,43442695,b10666369fb7076d742a9b892514132a,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_101428617.mp4,43440997,9a78ec52b77b8f04c4d76c72b9089c3d,False
/Users/arunpatro/My Drive/Books/Fiction/calvin&hobbes/CalvinHobbesCollection_Book2_of_3.pdf,42941837,0a0bab9fa6f8da4a8dcba5370f004068,False
