Pair,Count,Folder1,Folder2
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem
"('/Users/arunpatro/My Drive/Certificates', '/Users/arunpatro/My Drive/Finances')",1,/Users/arunpatro/My Drive/Certificates,/Users/arunpatro/My Drive/Finances
"('/Users/arunpatro/My Drive/Finances', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World')",1,/Users/arunpatro/My Drive/Finances,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World
"('/Users/arunpatro/My Drive/Finances', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes')",1,/Users/arunpatro/My Drive/Finances,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes
"('/Users/arunpatro/My Drive/Certificates', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World')",1,/Users/arunpatro/My Drive/Certificates,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World
"('/Users/arunpatro/My Drive/Certificates', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes')",1,/Users/arunpatro/My Drive/Certificates,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Manual', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Lab Manual')",12,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Manual,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Lab Manual
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/Quantum Computing', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/Quantum Computing')",5,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/Quantum Computing,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/Quantum Computing
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes')",4,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Notes
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Readings + Graphs + Docs/7 DC Motor Control', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/7 DC Motor Control')",3,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Readings + Graphs + Docs/7 DC Motor Control,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/7 DC Motor Control
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/4')",5,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/4
"('/Users/arunpatro/My Drive/Backup/Dropbox/Camera Uploads', '/Users/arunpatro/My Drive/Photos')",2,/Users/arunpatro/My Drive/Backup/Dropbox/Camera Uploads,/Users/arunpatro/My Drive/Photos
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics/Power Tut', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics/Power Tut')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics/Power Tut,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics/Power Tut
"('/Users/arunpatro/My Drive/Certificates', '/Users/arunpatro/My Drive/IIT - KGP/IIT Requirements')",2,/Users/arunpatro/My Drive/Certificates,/Users/arunpatro/My Drive/IIT - KGP/IIT Requirements
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e1', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e1')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e1
"('/Users/arunpatro/My Drive/Books', '/Users/arunpatro/My Drive/Japanese')",1,/Users/arunpatro/My Drive/Books,/Users/arunpatro/My Drive/Japanese
